Id,Category
0,pineapple
1,pear
2,pool
3,pillow
4,empty
5,rifle
6,pool
7,scorpion
8,pineapple
9,rollerskates
10,paintbrush
11,pineapple
12,scorpion
13,skull
14,rabbit
15,paintbrush
16,pool
17,parrot
18,nose
19,rifle
20,sailboat
21,moustache
22,skateboard
23,skull
24,panda
25,mouth
26,scorpion
27,shovel
28,rollerskates
29,shovel
30,pineapple
31,nail
32,pencil
33,octagon
34,parrot
35,moustache
36,skateboard
37,spoon
38,mouth
39,apple
40,moustache
41,scorpion
42,pillow
43,pineapple
44,spoon
45,paintbrush
46,peanut
47,skull
48,paintbrush
49,rhinoceros
50,sailboat
51,mouth
52,shovel
53,pineapple
54,rifle
55,sailboat
56,paintbrush
57,skateboard
58,nose
59,scorpion
60,octagon
61,sailboat
62,mouth
63,shovel
64,pillow
65,pool
66,nail
67,moustache
68,octagon
69,mouth
70,screwdriver
71,shovel
72,mouth
73,scorpion
74,penguin
75,shovel
76,moustache
77,pineapple
78,empty
79,skateboard
80,scorpion
81,nail
82,mug
83,nail
84,pineapple
85,scorpion
86,octagon
87,mug
88,rifle
89,parrot
90,empty
91,rabbit
92,sink
93,pineapple
94,mouth
95,scorpion
96,rabbit
97,empty
98,mouth
99,rabbit
100,sailboat
101,moustache
102,nose
103,empty
104,nail
105,apple
106,apple
107,mug
108,skateboard
109,moustache
110,apple
111,mouth
112,empty
113,scorpion
114,paintbrush
115,shovel
116,peanut
117,rifle
118,moustache
119,empty
120,pineapple
121,sailboat
122,mug
123,moustache
124,apple
125,nose
126,sailboat
127,pool
128,panda
129,mug
130,rabbit
131,pillow
132,empty
133,paintbrush
134,rifle
135,sailboat
136,rollerskates
137,scorpion
138,pillow
139,sailboat
140,nail
141,scorpion
142,paintbrush
143,pool
144,rhinoceros
145,panda
146,pear
147,nose
148,mouth
149,pencil
150,rifle
151,rifle
152,shovel
153,moustache
154,pool
155,nail
156,apple
157,spoon
158,rabbit
159,octagon
160,parrot
161,pear
162,pool
163,pool
164,scorpion
165,penguin
166,squiggle
167,empty
168,scorpion
169,nose
170,pear
171,skateboard
172,penguin
173,shovel
174,penguin
175,paintbrush
176,empty
177,moustache
178,octagon
179,rhinoceros
180,penguin
181,sailboat
182,rollerskates
183,pineapple
184,pillow
185,nail
186,pineapple
187,sailboat
188,octagon
189,empty
190,pineapple
191,parrot
192,sink
193,mouth
194,pineapple
195,skull
196,pillow
197,shovel
198,rabbit
199,mouth
200,pool
201,moustache
202,rollerskates
203,skull
204,mug
205,scorpion
206,rhinoceros
207,nail
208,skateboard
209,pencil
210,octagon
211,sailboat
212,rollerskates
213,moustache
214,panda
215,moustache
216,mouth
217,pillow
218,scorpion
219,mug
220,nail
221,empty
222,shovel
223,nail
224,parrot
225,mug
226,squiggle
227,sink
228,sailboat
229,apple
230,scorpion
231,squiggle
232,nose
233,skateboard
234,rollerskates
235,parrot
236,mouth
237,pillow
238,octagon
239,scorpion
240,octagon
241,rifle
242,octagon
243,shovel
244,pineapple
245,rabbit
246,pineapple
247,paintbrush
248,screwdriver
249,sailboat
250,panda
251,skull
252,shovel
253,panda
254,sink
255,rabbit
256,pineapple
257,moustache
258,apple
259,pool
260,empty
261,pear
262,pineapple
263,pencil
264,mouth
265,mouth
266,peanut
267,rifle
268,penguin
269,nail
270,skull
271,rollerskates
272,nose
273,scorpion
274,pillow
275,pineapple
276,scorpion
277,skateboard
278,penguin
279,skateboard
280,moustache
281,shovel
282,scorpion
283,paintbrush
284,penguin
285,mug
286,penguin
287,mouth
288,mouth
289,rollerskates
290,octagon
291,pool
292,paintbrush
293,mouth
294,nose
295,penguin
296,rollerskates
297,penguin
298,skateboard
299,pineapple
300,pencil
301,mouth
302,scorpion
303,rifle
304,spoon
305,apple
306,shovel
307,apple
308,mug
309,moustache
310,rhinoceros
311,rifle
312,rabbit
313,shovel
314,skateboard
315,pineapple
316,pineapple
317,sink
318,mug
319,scorpion
320,mouth
321,pool
322,scorpion
323,rollerskates
324,shovel
325,pencil
326,rifle
327,sink
328,rifle
329,shovel
330,shovel
331,rabbit
332,sink
333,penguin
334,octagon
335,rollerskates
336,pineapple
337,sink
338,empty
339,sailboat
340,mouth
341,pool
342,sailboat
343,octagon
344,paintbrush
345,sink
346,rollerskates
347,nail
348,empty
349,spoon
350,octagon
351,pineapple
352,nail
353,octagon
354,octagon
355,moustache
356,moustache
357,sink
358,scorpion
359,pear
360,empty
361,shovel
362,empty
363,sink
364,rifle
365,mouth
366,skateboard
367,empty
368,pool
369,peanut
370,pool
371,sink
372,rifle
373,pool
374,pineapple
375,nail
376,skull
377,empty
378,rhinoceros
379,sailboat
380,pineapple
381,skateboard
382,rhinoceros
383,sailboat
384,sailboat
385,pool
386,apple
387,octagon
388,pencil
389,rabbit
390,scorpion
391,scorpion
392,pencil
393,nail
394,rifle
395,sink
396,pear
397,octagon
398,shovel
399,sink
400,mouth
401,mouth
402,mug
403,rabbit
404,mouth
405,skull
406,pineapple
407,apple
408,mouth
409,panda
410,skateboard
411,pillow
412,panda
413,penguin
414,nose
415,nail
416,sailboat
417,rabbit
418,spoon
419,rhinoceros
420,rabbit
421,spoon
422,nail
423,pear
424,rhinoceros
425,pineapple
426,mouth
427,pear
428,rabbit
429,panda
430,rabbit
431,mouth
432,squiggle
433,mug
434,pencil
435,panda
436,rabbit
437,sailboat
438,apple
439,pineapple
440,paintbrush
441,pineapple
442,penguin
443,penguin
444,paintbrush
445,penguin
446,penguin
447,scorpion
448,mug
449,rabbit
450,panda
451,rabbit
452,pencil
453,shovel
454,empty
455,skateboard
456,rifle
457,shovel
458,pool
459,rifle
460,pencil
461,mouth
462,pear
463,nail
464,rollerskates
465,sailboat
466,nail
467,mouth
468,spoon
469,mouth
470,rifle
471,sailboat
472,rollerskates
473,octagon
474,pillow
475,rifle
476,pineapple
477,penguin
478,rabbit
479,mouth
480,squiggle
481,scorpion
482,moustache
483,nail
484,mug
485,mug
486,skateboard
487,apple
488,peanut
489,octagon
490,pineapple
491,moustache
492,mug
493,pineapple
494,mouth
495,octagon
496,rhinoceros
497,rifle
498,penguin
499,pillow
500,sink
501,mug
502,sink
503,sink
504,peanut
505,nail
506,nose
507,empty
508,apple
509,skull
510,octagon
511,pool
512,peanut
513,pencil
514,shovel
515,nose
516,nail
517,rhinoceros
518,mug
519,mug
520,mug
521,spoon
522,apple
523,skateboard
524,spoon
525,nose
526,pool
527,nail
528,octagon
529,sailboat
530,moustache
531,paintbrush
532,pear
533,pillow
534,moustache
535,rifle
536,panda
537,rollerskates
538,penguin
539,spoon
540,apple
541,spoon
542,scorpion
543,rabbit
544,mug
545,rifle
546,nail
547,moustache
548,pillow
549,rifle
550,sailboat
551,empty
552,spoon
553,nail
554,moustache
555,rifle
556,skull
557,rifle
558,skateboard
559,paintbrush
560,skateboard
561,apple
562,empty
563,scorpion
564,moustache
565,peanut
566,moustache
567,moustache
568,paintbrush
569,mouth
570,spoon
571,empty
572,rifle
573,pencil
574,nail
575,rifle
576,pool
577,mouth
578,rollerskates
579,mug
580,skateboard
581,pillow
582,pear
583,penguin
584,peanut
585,mug
586,pool
587,pencil
588,rifle
589,mouth
590,peanut
591,skateboard
592,sailboat
593,octagon
594,moustache
595,mouth
596,octagon
597,penguin
598,rhinoceros
599,mouth
600,moustache
601,skateboard
602,skull
603,spoon
604,mug
605,peanut
606,empty
607,pineapple
608,scorpion
609,empty
610,nail
611,octagon
612,octagon
613,scorpion
614,nail
615,rifle
616,mug
617,skull
618,panda
619,mouth
620,empty
621,rhinoceros
622,pineapple
623,paintbrush
624,sink
625,panda
626,pencil
627,rabbit
628,skateboard
629,pineapple
630,peanut
631,penguin
632,spoon
633,sink
634,nail
635,scorpion
636,scorpion
637,panda
638,scorpion
639,skull
640,scorpion
641,mug
642,skateboard
643,shovel
644,peanut
645,pillow
646,sailboat
647,sailboat
648,rollerskates
649,rabbit
650,nail
651,pineapple
652,scorpion
653,skateboard
654,scorpion
655,empty
656,apple
657,empty
658,nose
659,sailboat
660,moustache
661,apple
662,rabbit
663,mug
664,apple
665,sailboat
666,mug
667,pineapple
668,nose
669,mouth
670,mug
671,moustache
672,panda
673,pear
674,skateboard
675,moustache
676,moustache
677,penguin
678,rifle
679,pencil
680,pillow
681,mouth
682,pool
683,rollerskates
684,rabbit
685,apple
686,scorpion
687,parrot
688,moustache
689,mouth
690,screwdriver
691,nail
692,parrot
693,rhinoceros
694,rollerskates
695,sink
696,paintbrush
697,rabbit
698,paintbrush
699,moustache
700,pool
701,mouth
702,rollerskates
703,sailboat
704,penguin
705,mug
706,mouth
707,pineapple
708,rifle
709,paintbrush
710,moustache
711,rifle
712,nose
713,rifle
714,rabbit
715,rhinoceros
716,rabbit
717,mouth
718,paintbrush
719,mug
720,pineapple
721,rifle
722,empty
723,octagon
724,sailboat
725,empty
726,sink
727,rhinoceros
728,scorpion
729,octagon
730,empty
731,rifle
732,nail
733,pencil
734,empty
735,mouth
736,pineapple
737,rifle
738,skull
739,scorpion
740,sailboat
741,rollerskates
742,shovel
743,scorpion
744,scorpion
745,pool
746,pineapple
747,skateboard
748,octagon
749,empty
750,shovel
751,squiggle
752,rifle
753,sink
754,octagon
755,mug
756,apple
757,penguin
758,apple
759,penguin
760,mouth
761,empty
762,octagon
763,pineapple
764,sailboat
765,rabbit
766,skull
767,skateboard
768,nose
769,rabbit
770,skull
771,paintbrush
772,nose
773,apple
774,panda
775,apple
776,scorpion
777,rhinoceros
778,scorpion
779,skateboard
780,empty
781,sink
782,pineapple
783,pencil
784,nail
785,pineapple
786,rabbit
787,mug
788,apple
789,pencil
790,empty
791,nose
792,shovel
793,rabbit
794,mug
795,octagon
796,pineapple
797,moustache
798,nose
799,sailboat
800,peanut
801,moustache
802,mouth
803,mouth
804,sailboat
805,empty
806,scorpion
807,mug
808,pencil
809,octagon
810,skateboard
811,pear
812,moustache
813,scorpion
814,shovel
815,parrot
816,sailboat
817,octagon
818,apple
819,octagon
820,mouth
821,mouth
822,squiggle
823,sailboat
824,pillow
825,moustache
826,squiggle
827,octagon
828,sailboat
829,skull
830,scorpion
831,nail
832,pineapple
833,shovel
834,empty
835,paintbrush
836,mouth
837,parrot
838,pool
839,rifle
840,screwdriver
841,sink
842,nail
843,rabbit
844,moustache
845,moustache
846,scorpion
847,scorpion
848,pool
849,apple
850,rifle
851,rollerskates
852,sink
853,rollerskates
854,paintbrush
855,empty
856,skull
857,rhinoceros
858,empty
859,skateboard
860,pineapple
861,pool
862,penguin
863,sailboat
864,sink
865,mouth
866,panda
867,peanut
868,pineapple
869,mouth
870,pencil
871,pool
872,moustache
873,pineapple
874,nail
875,skateboard
876,pencil
877,paintbrush
878,nose
879,rollerskates
880,mug
881,octagon
882,pillow
883,rollerskates
884,rollerskates
885,mug
886,pencil
887,octagon
888,rifle
889,octagon
890,rifle
891,spoon
892,sailboat
893,parrot
894,skateboard
895,nail
896,skull
897,sailboat
898,octagon
899,penguin
900,pencil
901,apple
902,mouth
903,pineapple
904,rifle
905,skull
906,rabbit
907,moustache
908,panda
909,octagon
910,pillow
911,rifle
912,pear
913,empty
914,penguin
915,sailboat
916,mouth
917,empty
918,rhinoceros
919,apple
920,pool
921,sailboat
922,sailboat
923,shovel
924,moustache
925,spoon
926,paintbrush
927,moustache
928,mug
929,penguin
930,apple
931,rhinoceros
932,octagon
933,paintbrush
934,paintbrush
935,penguin
936,nail
937,spoon
938,sailboat
939,rhinoceros
940,mug
941,penguin
942,panda
943,spoon
944,mouth
945,apple
946,mouth
947,octagon
948,penguin
949,nose
950,nail
951,mouth
952,apple
953,pool
954,paintbrush
955,rifle
956,nail
957,mouth
958,spoon
959,parrot
960,rhinoceros
961,sink
962,skull
963,squiggle
964,pineapple
965,pillow
966,mouth
967,penguin
968,apple
969,rifle
970,skateboard
971,skateboard
972,peanut
973,empty
974,apple
975,pool
976,nail
977,peanut
978,pineapple
979,octagon
980,moustache
981,squiggle
982,pineapple
983,mug
984,pool
985,pool
986,mouth
987,pool
988,rollerskates
989,pencil
990,scorpion
991,rifle
992,pillow
993,sink
994,octagon
995,mug
996,mug
997,peanut
998,pineapple
999,moustache
1000,penguin
1001,pineapple
1002,moustache
1003,rhinoceros
1004,screwdriver
1005,mouth
1006,peanut
1007,moustache
1008,pineapple
1009,sailboat
1010,panda
1011,octagon
1012,mouth
1013,pillow
1014,skateboard
1015,rabbit
1016,octagon
1017,pineapple
1018,skull
1019,empty
1020,moustache
1021,pillow
1022,sailboat
1023,sailboat
1024,pool
1025,shovel
1026,mouth
1027,pool
1028,paintbrush
1029,pear
1030,skateboard
1031,penguin
1032,rifle
1033,rifle
1034,screwdriver
1035,pool
1036,empty
1037,sailboat
1038,mug
1039,paintbrush
1040,pear
1041,skull
1042,mug
1043,scorpion
1044,paintbrush
1045,apple
1046,mouth
1047,empty
1048,rifle
1049,pencil
1050,sink
1051,penguin
1052,moustache
1053,pineapple
1054,empty
1055,pillow
1056,rollerskates
1057,empty
1058,rollerskates
1059,penguin
1060,mouth
1061,mouth
1062,sailboat
1063,octagon
1064,paintbrush
1065,nose
1066,pineapple
1067,rabbit
1068,skateboard
1069,mouth
1070,pencil
1071,mug
1072,rabbit
1073,apple
1074,sailboat
1075,skull
1076,mouth
1077,sink
1078,mouth
1079,pineapple
1080,rollerskates
1081,mouth
1082,sailboat
1083,scorpion
1084,shovel
1085,mouth
1086,panda
1087,sink
1088,penguin
1089,nail
1090,penguin
1091,peanut
1092,scorpion
1093,penguin
1094,sink
1095,mouth
1096,scorpion
1097,scorpion
1098,moustache
1099,mouth
1100,mouth
1101,octagon
1102,sink
1103,skull
1104,pear
1105,moustache
1106,pool
1107,rifle
1108,panda
1109,rabbit
1110,skateboard
1111,rifle
1112,apple
1113,scorpion
1114,pool
1115,skateboard
1116,nail
1117,nail
1118,octagon
1119,nail
1120,nail
1121,rabbit
1122,pineapple
1123,rabbit
1124,skateboard
1125,spoon
1126,skull
1127,rhinoceros
1128,rifle
1129,scorpion
1130,pineapple
1131,sailboat
1132,rhinoceros
1133,apple
1134,spoon
1135,paintbrush
1136,skateboard
1137,octagon
1138,paintbrush
1139,mug
1140,pear
1141,rifle
1142,scorpion
1143,apple
1144,pineapple
1145,paintbrush
1146,penguin
1147,skateboard
1148,panda
1149,spoon
1150,panda
1151,spoon
1152,penguin
1153,mouth
1154,rollerskates
1155,penguin
1156,sailboat
1157,apple
1158,pear
1159,mug
1160,shovel
1161,shovel
1162,sailboat
1163,pool
1164,shovel
1165,rabbit
1166,skull
1167,mug
1168,skull
1169,apple
1170,pineapple
1171,apple
1172,nail
1173,mouth
1174,rifle
1175,paintbrush
1176,empty
1177,moustache
1178,moustache
1179,nail
1180,mouth
1181,squiggle
1182,apple
1183,skateboard
1184,rifle
1185,shovel
1186,sink
1187,rhinoceros
1188,pineapple
1189,squiggle
1190,rifle
1191,rhinoceros
1192,pillow
1193,pencil
1194,panda
1195,rhinoceros
1196,spoon
1197,rabbit
1198,mouth
1199,rhinoceros
1200,nail
1201,octagon
1202,spoon
1203,rifle
1204,octagon
1205,pencil
1206,skateboard
1207,peanut
1208,rabbit
1209,panda
1210,rollerskates
1211,skateboard
1212,empty
1213,rifle
1214,peanut
1215,pool
1216,octagon
1217,shovel
1218,nail
1219,sailboat
1220,penguin
1221,moustache
1222,octagon
1223,shovel
1224,skateboard
1225,pool
1226,mouth
1227,sink
1228,nose
1229,pear
1230,skull
1231,pool
1232,empty
1233,sink
1234,pineapple
1235,pineapple
1236,rollerskates
1237,sailboat
1238,squiggle
1239,scorpion
1240,nail
1241,skull
1242,rhinoceros
1243,rifle
1244,panda
1245,skateboard
1246,scorpion
1247,skull
1248,rollerskates
1249,apple
1250,rabbit
1251,octagon
1252,mug
1253,rhinoceros
1254,pool
1255,parrot
1256,mug
1257,rollerskates
1258,pineapple
1259,penguin
1260,nail
1261,mug
1262,penguin
1263,moustache
1264,nail
1265,sink
1266,rifle
1267,sailboat
1268,pool
1269,moustache
1270,skateboard
1271,rifle
1272,moustache
1273,rifle
1274,octagon
1275,apple
1276,rabbit
1277,rhinoceros
1278,rhinoceros
1279,rabbit
1280,pencil
1281,mouth
1282,skateboard
1283,pool
1284,mouth
1285,octagon
1286,rhinoceros
1287,parrot
1288,moustache
1289,paintbrush
1290,mouth
1291,moustache
1292,pear
1293,pencil
1294,penguin
1295,rhinoceros
1296,skull
1297,pineapple
1298,rifle
1299,pencil
1300,rabbit
1301,rabbit
1302,scorpion
1303,rabbit
1304,pear
1305,octagon
1306,rabbit
1307,screwdriver
1308,pear
1309,sailboat
1310,mug
1311,apple
1312,pillow
1313,pineapple
1314,scorpion
1315,mug
1316,mouth
1317,shovel
1318,pineapple
1319,pencil
1320,pineapple
1321,paintbrush
1322,nose
1323,scorpion
1324,rhinoceros
1325,mug
1326,pillow
1327,pineapple
1328,nail
1329,rifle
1330,pineapple
1331,nail
1332,mouth
1333,pencil
1334,penguin
1335,scorpion
1336,empty
1337,shovel
1338,spoon
1339,rabbit
1340,pencil
1341,nail
1342,empty
1343,pillow
1344,paintbrush
1345,rifle
1346,rollerskates
1347,moustache
1348,squiggle
1349,moustache
1350,mouth
1351,apple
1352,nose
1353,penguin
1354,nail
1355,skateboard
1356,pillow
1357,nose
1358,screwdriver
1359,nail
1360,scorpion
1361,moustache
1362,penguin
1363,pencil
1364,pear
1365,panda
1366,octagon
1367,pineapple
1368,scorpion
1369,mouth
1370,rifle
1371,pineapple
1372,mouth
1373,mouth
1374,pencil
1375,moustache
1376,rabbit
1377,pear
1378,rifle
1379,penguin
1380,empty
1381,empty
1382,mouth
1383,pencil
